,City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Puerto escondido,5,70,15.85,-97.07,84.2,17.22
1,Jamestown,90,75,42.1,-79.24,44.6,10.29
2,San luis,100,50,-33.3,-66.34,69.64,15.88
3,Ribeira grande,51,62,38.52,-28.7,53.42,15.32
4,Qaanaaq,99,80,77.48,-69.36,4.77,7.2
5,Yaan,100,55,7.38,8.57,85.87,9.64
6,Port alfred,70,86,-33.59,26.89,70.68,12.17
7,Dali,0,39,25.7,100.18,48.76,3.56
8,Georgetown,20,94,5.41,100.34,82.4,2.39
9,Kahului,40,77,20.89,-156.47,69.8,13.87
10,Burns lake,5,68,54.23,-125.75,30.87,3.24
11,Kapaa,90,78,22.08,-159.32,71.6,25.28
12,Ushuaia,100,80,-54.8,-68.3,49.68,6.71
13,Oranjemund,66,81,-28.55,16.43,65.1,12.68
14,Rikitea,73,82,-23.12,-134.97,77.83,13.02
15,Bathsheba,40,58,13.22,-59.52,84.2,21.92
16,Gibara,1,42,21.11,-76.13,88.88,8.55
17,Petropavlovsk-kamchatskiy,90,96,53.05,158.65,32.0,5.55
18,Bluff,80,79,-46.6,168.33,49.24,11.18
19,San cristobal,64,38,7.77,-72.22,83.07,1.99
20,Egvekinot,65,93,66.32,-179.17,12.76,3.51
21,Balkhash,0,75,46.84,74.98,24.35,20.13
22,Salmas,100,41,38.2,44.77,48.07,4.72
23,Touros,88,63,-5.2,-35.46,86.0,10.87
24,Billings,90,53,45.78,-108.5,39.99,4.92
25,Saint-philippe,23,79,-21.36,55.77,79.2,15.82
26,Alenquer,64,67,-1.94,-54.74,87.3,1.25
27,Vicuna,0,19,-30.03,-70.71,80.91,9.69
28,Busselton,37,75,-33.65,115.33,69.73,4.21
29,Bengkulu,95,79,-3.8,102.27,79.47,3.38
30,Lagoa,16,63,39.05,-27.98,53.46,17.0
31,Kodiak,1,80,57.79,-152.41,39.2,7.83
32,Cherskiy,100,93,68.75,161.3,0.99,7.52
33,Antalaha,85,84,-14.9,50.28,78.6,8.5
34,New norfolk,2,73,-42.78,147.06,39.99,2.13
35,Laguna,20,58,38.42,-121.42,55.99,8.05
36,Smirnykh,71,91,49.75,142.83,20.73,11.32
37,Mataura,48,86,-46.19,168.86,43.32,2.71
38,Nadadores,0,29,27.05,-101.6,86.86,2.93
39,Bethel,90,70,41.37,-73.41,42.8,9.17
40,Hermanus,70,77,-34.42,19.23,64.4,20.36
41,Carora,32,34,10.18,-70.08,91.42,1.54
